ID,ID_ZAKAZNIKA,DATUM,POZNAMKA
563,161,2015-06-09,nereaguje
564,162,2015-06-09,nereaguje
565,99,2015-06-09,jede do svedska
566,288,2015-06-09,nic
567,283,2015-06-09,vzala kloubovku
568,276,2015-06-09,neodepisuje
569,265,2015-06-09,posledne nic nechtel
570,269,2015-06-09,mrknout na jeho lidi
571,179,2015-06-09,nereaguje
572,180,2015-06-09,zdravotni problemy chtel pomoct z propagaci
573,196,2015-06-09,nereaguje
574,214,2015-06-09,na 12.6 bude chtit neco
575,232,2015-06-09,nereaguje
576,270,2015-06-09,nereaguje
577,280,2015-06-09,zkopirovat lidi
578,307,2015-06-09,dal mu kamos
579,278,2015-06-10,ozve se po vyplate
580,319,2015-06-11,"bral lipo dluzi mi ed 1090,- jezdi kamionem"
581,320,2015-06-11,nasel jsem na fb ptal se na usa
582,321,2015-06-11,po soutezi byl na ni s cenkem nic od nej nebere robin libis dal na me kontakt asi ma dobre ceny
583,125,2015-06-11,resi jeho maos neco s pravnikem a trva to
584,275,2015-06-11,ted nic nechce
585,185,2015-06-11,nechce ted nic
586,132,2015-06-11,je mi mo ostravu
587,209,2015-06-11,nic nechce
588,221,2015-06-11,je v nemecku
589,324,2015-06-11,nasle jsem na fb az bude chtit neco napise mi 
590,326,2015-06-11,tednic nechce
591,316,2015-06-12,koncem mesice neco vezme bude v ostrave
592,158,2015-06-12,obslehnout lidi
593,216,2015-06-12,nereaguje
594,88,2015-06-12,po dovblene vezme neco v cervenci
595,310,2015-06-12,chce amina a bcaa
596,217,2015-06-12,ted necvici
597,213,2015-06-12,VEZME NECO dal jsem nabidku protienu na fb
598,305,2015-06-12,nakonec asi nic
599,287,2015-06-12,nebere nic moc
600,9,2015-06-12,obslehnout lidi
601,327,2015-06-12,NASEL JSEM na fb ma superor whey po 1200
602,305,2015-06-12,kluci v kabune na sezonu budou asi chtit
603,103,2015-06-12,zaujala ho usa predtreninkovky
604,328,2015-06-12,nasel jsem na fb zatim neutralni ozvat se s nabidkou treba vezme
605,332,2015-06-13,nasel jsem na fb - slovak
606,311,2015-06-15,"nakonec mu mamka koupila sam avyzivu amix nejake amina a zbyek nutrend, takze u me az cervenec"
607,335,2015-06-15,neodepsal
608,303,2015-06-15,zatim nikdo nic nechce
609,333,2015-06-15,az s evrati do cr ozve se nevim ale kdy to bude zatim
610,47,2015-06-15,necvici dela na barkau
611,330,2015-06-15,objednavka uzavrena
